v_g,i_ds,r
5.71167,0.0006490686,462.20075967316853
5.897312,0.0006467532,463.85545521846666
5.947152,0.0006463641,464.1346881734304
5.994199,0.0006459241,464.45085421027017
6.045672,0.0006456869,464.621475207256
6.093632,0.0006452266,464.95293281461113
6.144235,0.000644872,465.20859953603195
6.061565,0.0006463309,464.15852932298304
6.247215,0.0006438215,465.96766339738576
6.163686,0.0006453732,464.8473162505043
6.343976,0.000642924,466.61813838027507
6.396141,0.0006425977,466.85507900199457
6.445499,0.0006423186,467.057936668812
6.493091,0.0006417234,467.4911340306431
6.5487,0.0006414944,467.6580185267401
6.463386,0.000642969,466.5854807930087
6.647826,0.0006406365,468.2842766529849
6.69627,0.000640114,468.66651877634297
6.611987,0.0006417722,467.4555862656562
6.794324,0.0006392927,469.26861514295405
6.847187,0.0006389925,469.4890785103112
6.897918,0.0006385461,469.81729275302126
6.813483,0.0006402288,468.58248176276976
6.995323,0.0006377675,470.3908556017671
7.044291,0.00063732,470.7211447938241
6.961824,0.0006388453,469.59725617453864
7.152654,0.0006364658,471.35289908742936
7.067469,0.0006379699,470.2416211172345
7.251404,0.0006356042,471.9918464981824
7.169865,0.0006370349,470.9318123700915
7.353275,0.000634629,472.7171307961029
7.26818,0.0006361452,471.5904482184256
7.454163,0.0006339073,473.2553166685413
7.501322,0.000633554,473.5192264589916
7.41657,0.0006350025,472.43908488549255
7.604773,0.0006325261,474.2887289552162
7.651736,0.0006321718,474.55454355920335
7.568338,0.0006338969,473.26308110987765
7.753062,0.0006314234,475.11701340178394
7.667393,0.0006328945,474.01265139766576
7.851688,0.0006305971,475.73958078779617
7.769569,0.0006321081,474.60236627247775
7.953484,0.0006296945,476.4215028081077
8.001904,0.0006294688,476.5923267364482
7.917965,0.0006309204,475.49579947010744
8.100892,0.000628543,477.29431399283743
8.150054,0.0006282559,477.51242765885684
8.069191,0.0006297865,476.35190655881
8.252241,0.0006273348,478.2135472159364
8.168173,0.0006289146,477.0123002391739
8.352455,0.0006265285,478.828975856645
8.266947,0.0006280661,477.65673071671915
8.450311,0.0006256443,479.5056871772028
8.3692,0.0006273132,478.2300133330528
8.550565,0.0006249241,480.05829827974304
8.600717,0.0006246406,480.27617801340483
8.652578,0.0006241397,480.661621108223
8.699716,0.000623796,480.9264567262374
8.751898,0.0006234729,481.1756854227345
8.669735,0.0006251361,479.895497956365
8.854905,0.0006226362,481.8222904482585
8.768758,0.0006243984,480.4624739589339
8.952994,0.0006219391,482.36234062145314
9.001359,0.000621539,482.6728491695613
9.048877,0.0006211559,482.9705392800745
9.103587,0.0006208005,483.2470334672733
9.022243,0.0006222578,482.1152904792836
9.206847,0.0006200091,483.8638658690655
9.124468,0.0006214541,482.7387895582312
9.307034,0.0006189838,484.66534988476275
9.355705,0.0006188169,484.7960681099692
9.407564,0.0006183864,485.1335669736592
9.322479,0.0006200519,483.8304664496633
9.506486,0.0006176746,485.69262844870093
9.558979,0.0006172482,486.02814880626624
9.608774,0.0006169205,486.2863205226605
9.52362,0.0006185038,485.0414823643767
9.707017,0.0006161719,486.8771198426933
9.622638,0.0006177549,485.6294948044929
9.808366,0.0006153232,487.54865735600407
9.860092,0.0006148776,487.90198244333504
9.908011,0.0006145742,488.14284751946957
9.823269,0.0006160867,486.94445116247437
10.0097,0.0006137645,488.7868229589688
9.922163,0.0006154098,487.4800498789587
10.10771,0.0006130861,489.3276817073491
10.16033,0.0006126552,489.6718415186878
10.20784,0.000612359,489.908697349104
10.25983,0.0006120382,490.1654831348762
10.30745,0.0006117052,490.4323193590638
10.22279,0.0006133136,489.1461725290292
10.40855,0.0006108887,491.08782008899493
10.46139,0.0006105648,491.34833845645863
10.50794,0.0006103119,491.55194253954414
10.56,0.000609936,491.8548831352797
10.4733,0.0006115717,490.53937584096843
10.65917,0.0006091318,492.50424949083265
10.57181,0.0006105528,491.3579955738471
10.76114,0.0006083655,493.1246101233551
10.67408,0.0006100015,491.80206933917367
10.85981,0.0006075069,493.82155165645025
10.90915,0.0006071664,494.0984876633489
10.82245,0.0006089392,492.66002254412257
11.00856,0.0006066095,494.5520965299752
10.92143,0.0006081465,493.3021895217682
11.1109,0.0006057158,495.28178066347283
11.02702,0.0006074118,493.8988672923377
11.21303,0.000604837,496.0014020306297
11.26618,0.000604571,496.21963342601606
11.17883,0.0006061078,494.961457351316
11.36448,0.0006038012,496.85227521906216
11.27771,0.0006055027,495.4560896260248
11.46327,0.000602986,497.52398894833374
11.51268,0.0006027641,497.7071461289748
11.56578,0.0006024187,497.9925091966767
11.615,0.0006020791,498.2733996247337
11.66261,0.0006016854,498.599434189362
11.71412,0.0006015695,498.69549569916694
11.76176,0.0006011992,499.0026600168463
11.81268,0.0006009156,499.2381625639274
11.86356,0.0006005501,499.54200324002943
11.9164,0.0006002181,499.8183160421186
11.82808,0.0006018609,498.45404478011443
12.01419,0.0005995285,500.39322567651084
12.06429,0.0005992145,500.6554414153863
12.11192,0.0005989161,500.90488467416384
12.02924,0.0006003551,499.70425836309204
12.21643,0.0005979756,501.6927112076144
12.12838,0.0005997019,500.2485401496977
12.31507,0.0005972526,502.300031845822
12.36366,0.0005970761,502.44851535675264
12.40989,0.0005966699,502.79057147008757
12.32918,0.0005983474,501.38097031924934
12.51494,0.0005959729,503.3785932212689
12.56392,0.0005954498,503.82080907576085
12.61095,0.0005953576,503.89883323904826
12.66369,0.000594986,504.2135445203752
12.71278,0.0005946551,504.4941176826702
12.62935,0.0005963612,503.05083563451143
12.8121,0.0005937912,505.2281003827608
12.86294,0.0005934607,505.5094633899094
