v_g,i_ds,r
31.49824,0.0004565836,657.053823220983
31.46317,0.0004582812,654.6199145851936
31.69653,0.0004554855,658.6378710189457
31.66403,0.0004570385,656.3998437768372
31.89978,0.0004541353,660.5960822688745
31.99929,0.0004538464,661.0165906350694
31.96427,0.0004552954,658.9128728293763
32.19959,0.0004524736,663.0221078091628
32.2997,0.0004520979,663.5730889260932
32.40053,0.0004517152,664.1352781575647
32.36379,0.000453349,661.7418368629907
32.59807,0.0004504777,665.9597134330955
32.7013,0.0004500772,666.5523159138032
32.66346,0.0004518064,664.0012182209017
32.89608,0.0004489325,668.2519086945142
32.8648,0.0004505939,665.7879744932188
33.10039,0.0004476154,670.2182275230031
33.20041,0.0004473749,670.5785237392621
33.1648,0.0004491129,667.9834847763224
33.3996,0.0004462362,672.2896976982146
33.36228,0.0004480609,669.5518399396153
33.60094,0.0004451246,673.9685921649802
33.5636,0.0004469303,671.2456058584527
33.79736,0.0004440113,675.6584798630124
33.76848,0.0004456544,673.1673691542145
34.00729,0.0004426536,677.7308486816779
33.96992,0.0004443737,675.107460229982
34.20604,0.0004416096,679.3330579770004
34.30992,0.0004412644,679.8644984730244
34.26929,0.0004430587,677.1111818817687
34.5047,0.0004403013,681.3516108174107
34.4704,0.0004420874,678.5988471962784
34.70743,0.0004390993,683.2167575762475
34.80671,0.0004389833,683.3972955235427
34.90803,0.0004385428,684.0837427954581
35.00643,0.0004381875,684.6384253316218
34.96857,0.0004399471,681.9001648152698
35.20649,0.0004371043,686.3350463493496
35.30784,0.0004368199,686.7818979858747
35.2681,0.0004385315,684.1013701410275
35.50363,0.0004355893,688.7221518067593
35.60731,0.0004352925,689.191750374748
35.56853,0.0004371588,686.2494818816411
35.80802,0.0004340778,691.1203475506004
35.76975,0.0004359641,688.1300547453334
36.00861,0.0004330382,692.7795284573047
36.10648,0.0004328742,693.0419969589317
36.06964,0.0004347115,690.1128679595547
36.3029,0.0004317904,694.7815421556385
36.2742,0.0004335407,691.9765549116842
36.50729,0.0004307995,696.3796383236285
36.47533,0.0004324993,693.6427411558817
36.71118,0.0004297634,698.0585131260596
36.81199,0.0004294061,698.6393532835234
36.91261,0.0004292637,698.871113490379
36.874,0.0004311597,695.797867936173
37.11224,0.0004281594,700.6736276255992
37.07503,0.0004299898,697.6909684834385
37.30753,0.0004270623,702.4736203593714
37.27325,0.0004289196,699.4317816206114
37.51271,0.0004260934,704.0709853755069
37.4745,0.0004279029,701.0936359627383
37.70932,0.0004250543,705.7921776111899
37.80886,0.0004248782,706.084708511757
37.77407,0.0004265937,703.2452659286811
38.01027,0.0004236946,708.0571713682449
37.97563,0.0004256046,704.8795995156067
38.20967,0.0004226214,709.855203735542
38.30861,0.0004226026,709.8867825233447
38.4077,0.0004223816,710.2582120054473
38.5108,0.0004220509,710.8147382223328
38.6057,0.0004218391,711.1716291827855
38.71078,0.000421514,711.7201326646327
38.80688,0.0004214121,711.8922309065164
38.91654,0.0004210808,712.4523369386587
38.87881,0.0004228498,709.4717793410331
39.11308,0.0004199856,714.3102049213115
39.21632,0.0004197439,714.7215242437114
39.17872,0.0004215312,711.6910919049408
39.41287,0.0004187636,716.3946436605282
39.51771,0.0004183454,717.1107893142843
39.61459,0.0004183588,717.0878203111778
39.57743,0.0004201893,713.963920547239
39.81493,0.0004172694,718.9599812495237
39.91524,0.0004169373,719.5326491537216
39.8779,0.0004189199,716.1273551340005
40.11453,0.0004160209,721.1176169274188
40.07906,0.0004178628,717.9389981592044
40.31144,0.0004151556,722.6206270612753
40.27953,0.0004168064,719.7586217486104
40.51022,0.0004140843,724.4901581634464
40.47743,0.0004159084,721.3126736560262
40.71321,0.0004130981,726.2197526447108
40.81338,0.0004129637,726.4561025581668
40.91162,0.0004128462,726.6628589532858
40.88027,0.0004146344,723.5289691352189
41.11504,0.0004116962,728.69266221063
41.07755,0.0004135711,725.3891773385519
41.31695,0.0004107721,730.3319772691475
41.41708,0.0004105712,730.6893420678314
41.3847,0.0004125452,727.1930445439675
41.61552,0.000409579,732.4594278515256
41.5824,0.0004115595,728.9346983850452
41.81921,0.0004087047,734.0263030985452
41.91989,0.0004085751,734.259136202867
41.88219,0.0004104996,730.816790077262
42.12009,0.0004076486,735.9279536345764
42.08339,0.000409537,732.5345451082563
42.31929,0.0004067452,737.5624838350889
42.28473,0.0004086445,734.1344371452448
42.51765,0.0004058038,739.2735109922578
42.6147,0.000405757,739.3587787764598
42.58494,0.0004075247,736.1516982896987
42.81431,0.0004048954,740.9321024639944
42.91268,0.0004047595,741.1808740746048
43.0174,0.0004046356,741.4078247193277
42.98343,0.0004065344,737.9449315974244
43.21729,0.0004036082,743.2951064918899
43.3186,0.000403414,743.6529223081003
43.41525,0.0004032894,743.8826807746497
43.51501,0.0004032114,744.0265825817424
43.48434,0.0004050548,740.6405256770195
43.71711,0.0004021226,746.0411327291725
43.81409,0.0004021503,745.9897456249566
43.78779,0.0004039119,742.7362253996478
44.02337,0.0004010949,747.9526665634492
44.12122,0.0004009196,748.2797049583008
44.08855,0.0004028667,744.6631851180551
44.32688,0.0003999279,750.1352118719399
44.28965,0.0004018827,746.4864747848065
44.52555,0.0003989918,751.8951517299353
44.49036,0.0004010063,748.117922336881
44.72303,0.0003981601,753.4657541024327
44.6883,0.0004002371,749.5557008583162
44.92308,0.0003973052,755.0870212622438
44.88944,0.0003993972,751.1319558574771
45.12292,0.0003965828,756.4624587854037
45.22117,0.0003966429,756.3478383200606
45.32049,0.0003963906,756.829248725878
45.4225,0.0003963118,756.9797316153594
45.51891,0.0003962076,757.1788123196021
45.48908,0.0003980714,753.6336446175234
45.72437,0.0003951872,759.1338990736542
45.82315,0.0003951259,759.2516714292836
45.78994,0.0003970482,755.5757714050837
46.0201,0.0003942177,761.0008378619225
46.11969,0.0003941357,761.1591642167913
46.08944,0.0003961351,757.3173899510545
46.32499,0.0003932267,762.9186929575229
46.29397,0.0003950062,759.4817499067103
46.52784,0.0003922018,764.9123486939632
46.49537,0.0003942045,761.0263200952804
46.73024,0.0003912782,766.7179004605929
46.69321,0.0003934734,762.4403581029874
46.93081,0.0003905339,768.1791516690356
46.89391,0.0003925698,764.1953099805436
47.12674,0.0003898714,769.484501812649
47.22676,0.0003897765,769.6718504065791
47.32933,0.0003897004,769.8221505546311
47.42629,0.0003897175,769.7883723466357
47.39561,0.0003915833,766.120516375443
47.63193,0.0003887031,771.797292072021
47.59335,0.0003908471,767.5635817689322
