#Procedure: <__main__.MeasurementProcedure>
#Parameters:
#	Compliance Voltage/Current: 1
#	Delay Time: 0.2 s
#	Final Value: 0
#	Initial Value: 0.3
#	Loop Iterations: 100
#	What to measure: Current [A]
#Data:
Voltage [V],Current [A]
0.3,0.000677251
0.29696969696969694,0.0006703145
0.29393939393939394,0.0006635567
0.2909090909090909,0.0006567742
0.28787878787878785,0.000649939
0.28484848484848485,0.0006432423
0.2818181818181818,0.0006363222
0.27878787878787875,0.0006298175
0.27575757575757576,0.0006230082
0.2727272727272727,0.0006163519
0.26969696969696966,0.0006095553
0.26666666666666666,0.0006024651
0.2636363636363636,0.0005956548
0.2606060606060606,0.0005888565
0.25757575757575757,0.0005821739
0.2545454545454545,0.0005753021
0.2515151515151515,0.0005684359
0.24848484848484848,0.000561674
0.24545454545454545,0.0005548891
0.2424242424242424,0.0005481609
0.23939393939393938,0.0005414364
0.23636363636363636,0.0005346043
0.23333333333333334,0.0005280149
0.2303030303030303,0.0005212661
0.22727272727272727,0.0005143057
0.22424242424242424,0.0005075794
0.2212121212121212,0.0005008202
0.21818181818181817,0.0004940115
0.21515151515151515,0.0004869946
0.2121212121212121,0.0004802945
0.20909090909090908,0.0004735997
0.20606060606060606,0.0004666416
0.203030303030303,0.0004598491
0.19999999999999998,0.0004530601
0.19696969696969696,0.0004456954
0.1939393939393939,0.0004388839
0.19090909090909092,0.0004325105
0.18787878787878787,0.0004256583
0.18484848484848482,0.0004189668
0.18181818181818182,0.000412676
0.17878787878787877,0.0004060568
0.17575757575757575,0.000399399
0.17272727272727273,0.0003924069
0.16969696969696968,0.0003855143
0.16666666666666666,0.0003787176
0.16363636363636364,0.0003718969
0.16060606060606059,0.0003649305
0.15757575757575756,0.0003575877
0.15454545454545454,0.0003507707
0.1515151515151515,0.0003440915
0.14848484848484847,0.0003369654
0.14545454545454545,0.0003300715
0.14242424242424243,0.0003236231
0.13939393939393938,0.0003170189
0.13636363636363635,0.0003104103
0.13333333333333333,0.0003036207
0.13030303030303028,0.0002966684
0.12727272727272726,0.0002898156
0.12424242424242424,0.0002830154
0.12121212121212119,0.0002761386
0.11818181818181817,0.0002692496
0.11515151515151514,0.0002623894
0.11212121212121212,0.0002554254
0.10909090909090907,0.00024861
0.10606060606060605,0.0002418699
0.10303030303030303,0.0002348514
0.09999999999999998,0.0002278462
0.09696969696969696,0.0002207718
0.09393939393939393,0.0002138697
0.09090909090909091,0.0002072302
0.08787878787878786,0.0002003535
0.08484848484848484,0.0001933669
0.08181818181818182,0.0001864442
0.07878787878787877,0.0001795956
0.07575757575757575,0.0001727254
0.07272727272727272,0.0001657776
0.06969696969696967,0.0001588997
0.06666666666666665,0.0001520389
0.06363636363636363,0.0001451288
0.06060606060606061,0.0001382128
0.05757575757575756,0.0001313069
0.054545454545454536,0.0001243732
0.051515151515151514,0.0001173987
0.048484848484848464,0.0001105045
0.04545454545454547,0.0001035965
0.04242424242424242,9.569568e-05
0.03939393939393937,8.893991e-05
0.036363636363636376,8.214914e-05
0.033333333333333326,7.535516e-05
0.030303030303030276,6.858211e-05
0.027272727272727282,6.176926e-05
0.024242424242424232,5.491612e-05
0.021212121212121182,4.808951e-05
0.018181818181818188,4.129906e-05
0.015151515151515138,3.443172e-05
0.012121212121212088,2.757053e-05
0.009090909090909094,2.069822e-05
0.006060606060606044,1.380138e-05
0.0030303030303029943,6.826461e-06
0.0,-1.455741e-08
