#Procedure: <__main__.MeasurementProcedure>
#Parameters:
#	Compliance Voltage/Current: 1
#	Delay Time: 0.1 s
#	Final Value: 0
#	Initial Value: 1
#	Loop Iterations: 100
#	What to measure: Current [A]
#Data:
Voltage [V],Current [A]
1.0,0.00101804
0.98989898989899,0.001007918
0.9797979797979798,0.0009976606
0.9696969696969697,0.00098748
0.9595959595959596,0.0009778118
0.9494949494949495,0.0009679458
0.9393939393939394,0.0009579353
0.9292929292929293,0.0009476143
0.9191919191919192,0.0009373839
0.9090909090909091,0.0009273059
0.898989898989899,0.0009170865
0.8888888888888888,0.0009068928
0.8787878787878788,0.0008966538
0.8686868686868687,0.0008863846
0.8585858585858586,0.0008761187
0.8484848484848485,0.0008660175
0.8383838383838383,0.0008557979
0.8282828282828283,0.0008455495
0.8181818181818181,0.000835097
0.8080808080808081,0.0008247581
0.797979797979798,0.0008144683
0.7878787878787878,0.0008041498
0.7777777777777778,0.000793907
0.7676767676767676,0.0007836512
0.7575757575757576,0.0007734478
0.7474747474747474,0.0007632413
0.7373737373737373,0.0007528127
0.7272727272727273,0.0007425437
0.7171717171717171,0.0007321297
0.7070707070707071,0.0007219661
0.696969696969697,0.0007115875
0.6868686868686869,0.0007012906
0.6767676767676767,0.0006909802
0.6666666666666666,0.0006807513
0.6565656565656566,0.0006700408
0.6464646464646464,0.0006596437
0.6363636363636364,0.0006492957
0.6262626262626263,0.0006389788
0.6161616161616161,0.0006285059
0.606060606060606,0.0006181827
0.5959595959595959,0.0006077596
0.5858585858585859,0.0005972151
0.5757575757575757,0.0005867849
0.5656565656565656,0.0005763311
0.5555555555555556,0.0005657849
0.5454545454545454,0.000555328
0.5353535353535352,0.0005450394
0.5252525252525252,0.000534852
0.5151515151515151,0.0005245251
0.505050505050505,0.0005142144
0.4949494949494949,0.0005038861
0.48484848484848475,0.0004936151
0.4747474747474747,0.0004832473
0.46464646464646464,0.0004728943
0.4545454545454545,0.0004626462
0.4444444444444444,0.0004523394
0.43434343434343425,0.0004420833
0.4242424242424242,0.0004318161
0.41414141414141414,0.0004215545
0.404040404040404,0.0004113282
0.3939393939393939,0.0004009648
0.38383838383838376,0.0003907362
0.3737373737373737,0.0003804498
0.36363636363636354,0.0003702515
0.3535353535353535,0.0003598718
0.3434343434343434,0.0003496493
0.33333333333333326,0.0003393497
0.3232323232323232,0.0003291113
0.31313131313131304,0.000318848
0.303030303030303,0.0003085804
0.2929292929292928,0.0002982813
0.28282828282828276,0.0002879636
0.2727272727272727,0.0002777051
0.26262626262626254,0.0002674432
0.2525252525252525,0.0002571467
0.24242424242424232,0.0002468142
0.23232323232323226,0.0002365356
0.2222222222222222,0.0002262365
0.21212121212121204,0.0002159433
0.202020202020202,0.0002056606
0.19191919191919182,0.0001953812
0.18181818181818177,0.0001851141
0.1717171717171716,0.0001748211
0.16161616161616155,0.0001645161
0.1515151515151515,0.0001542605
0.14141414141414133,0.0001439744
0.13131313131313127,0.0001336533
0.1212121212121211,0.0001234006
0.11111111111111105,0.0001131016
0.10101010101010088,0.000102816
0.09090909090909083,9.245073e-05
0.08080808080808077,8.217659e-05
0.07070707070707061,7.190506e-05
0.06060606060606055,6.162935e-05
0.050505050505050386,5.136368e-05
0.04040404040404033,4.110536e-05
0.030303030303030276,3.084696e-05
0.02020202020202011,2.057086e-05
0.010101010101010055,1.027089e-05
0.0,-1.348541e-08
