#Procedure: <__main__.MeasurementProcedure>
#Parameters:
#	Compliance Voltage/Current: 1
#	Delay Time: 0.1 s
#	Final Value: 0
#	Initial Value: 1
#	Loop Iterations: 100
#	What to measure: Current [A]
#Data:
Voltage [V],Current [A]
1.0,0.001078621
0.98989898989899,0.001067609
0.9797979797979798,0.001056623
0.9696969696969697,0.00104574
0.9595959595959596,0.001034638
0.9494949494949495,0.00102374
0.9393939393939394,0.001012786
0.9292929292929293,0.001001896
0.9191919191919192,0.0009846092
0.9090909090909091,0.0009741024
0.898989898989899,0.0009632479
0.8888888888888888,0.0009524026
0.8787878787878788,0.0009416936
0.8686868686868687,0.000930863
0.8585858585858586,0.0009200906
0.8484848484848485,0.0009092327
0.8383838383838383,0.0008985175
0.8282828282828283,0.0008876668
0.8181818181818181,0.0008766305
0.8080808080808081,0.000865865
0.797979797979798,0.0008552084
0.7878787878787878,0.0008443562
0.7777777777777778,0.0008335798
0.7676767676767676,0.0008224935
0.7575757575757576,0.0008119962
0.7474747474747474,0.0008012709
0.7373737373737373,0.0007907508
0.7272727272727273,0.0007800165
0.7171717171717171,0.0007690669
0.7070707070707071,0.0007581986
0.696969696969697,0.000747501
0.6868686868686869,0.000736726
0.6767676767676767,0.0007258403
0.6666666666666666,0.0007151306
0.6565656565656566,0.0007044309
0.6464646464646464,0.0006935584
0.6363636363636364,0.0006827994
0.6262626262626263,0.0006719508
0.6161616161616161,0.0006611318
0.606060606060606,0.0006503434
0.5959595959595959,0.0006395228
0.5858585858585859,0.0006286626
0.5757575757575757,0.0006177785
0.5656565656565656,0.0006070881
0.5555555555555556,0.0005962444
0.5454545454545454,0.0005855258
0.5353535353535352,0.0005747272
0.5252525252525252,0.0005638579
0.5151515151515151,0.0005531422
0.505050505050505,0.0005422363
0.4949494949494949,0.0005314474
0.48484848484848475,0.0005205466
0.4747474747474747,0.0005096658
0.46464646464646464,0.0004988041
0.4545454545454545,0.0004882367
0.4444444444444444,0.0004778112
0.43434343434343425,0.0004673028
0.4242424242424242,0.000456015
0.41414141414141414,0.0004452893
0.404040404040404,0.0004344725
0.3939393939393939,0.0004234237
0.38383838383838376,0.0004124053
0.3737373737373737,0.0004014293
0.36363636363636354,0.0003903754
0.3535353535353535,0.0003793682
0.3434343434343434,0.0003684276
0.33333333333333326,0.0003575357
0.3232323232323232,0.0003468981
0.31313131313131304,0.0003361608
0.303030303030303,0.0003253793
0.2929292929292928,0.0003144366
0.28282828282828276,0.0003034869
0.2727272727272727,0.0002925856
0.26262626262626254,0.0002817713
0.2525252525252525,0.0002709282
0.24242424242424232,0.0002600385
0.23232323232323226,0.0002492624
0.2222222222222222,0.0002385423
0.21212121212121204,0.0002276279
0.202020202020202,0.0002168329
0.19191919191919182,0.0002060237
0.18181818181818177,0.0001951714
0.1717171717171716,0.0001843027
0.16161616161616155,0.0001734603
0.1515151515151515,0.0001626592
0.14141414141414133,0.0001518631
0.13131313131313127,0.0001410724
0.1212121212121211,0.0001302841
0.11111111111111105,0.0001194402
0.10101010101010088,0.0001085981
0.09090909090909083,9.71348e-05
0.08080808080808077,8.644289e-05
0.07070707070707061,7.570865e-05
0.06060606060606055,6.493802e-05
0.050505050505050386,5.415527e-05
0.04040404040404033,4.334128e-05
0.030303030303030276,3.252678e-05
0.02020202020202011,2.170624e-05
0.010101010101010055,1.085426e-05
0.0,-1.163886e-08
