#Procedure: <__main__.MeasurementProcedure>
#Parameters:
#	Compliance Voltage/Current: 1
#	Delay Time: 0.1 s
#	Final Value: 1
#	Initial Value: 0
#	Loop Iterations: 100
#	What to measure: Current [A]
#Data:
Voltage [V],Current [A]
0.0,3.278214e-08
0.010101010101010102,1.028206e-05
0.020202020202020204,2.05945e-05
0.030303030303030304,3.089518e-05
0.04040404040404041,4.119198e-05
0.05050505050505051,5.149481e-05
0.06060606060606061,6.179797e-05
0.07070707070707072,7.208344e-05
0.08080808080808081,8.23879e-05
0.09090909090909091,9.268444e-05
0.10101010101010102,0.0001029567
0.11111111111111112,0.0001133707
0.12121212121212122,0.0001236814
0.13131313131313133,0.0001339898
0.14141414141414144,0.0001443126
0.15151515151515152,0.0001545971
0.16161616161616163,0.0001649195
0.17171717171717174,0.000175224
0.18181818181818182,0.0001855535
0.19191919191919193,0.0001958295
0.20202020202020204,0.0002061277
0.21212121212121213,0.0002164258
0.22222222222222224,0.0002267552
0.23232323232323235,0.0002370432
0.24242424242424243,0.0002473324
0.25252525252525254,0.0002577109
0.26262626262626265,0.0002679683
0.27272727272727276,0.0002782972
0.2828282828282829,0.0002885966
0.29292929292929293,0.0002988814
0.30303030303030304,0.0003092126
0.31313131313131315,0.0003195051
0.32323232323232326,0.0003297748
0.33333333333333337,0.0003400957
0.3434343434343435,0.0003504074
0.3535353535353536,0.0003607679
0.36363636363636365,0.0003709896
0.37373737373737376,0.0003812814
0.38383838383838387,0.000391606
0.393939393939394,0.0004018875
0.4040404040404041,0.0004122008
0.4141414141414142,0.0004225273
0.42424242424242425,0.0004328144
0.43434343434343436,0.0004431245
0.4444444444444445,0.0004533804
0.4545454545454546,0.0004637167
0.4646464646464647,0.0004739024
0.4747474747474748,0.0004841935
0.48484848484848486,0.0004945061
0.494949494949495,0.0005047864
0.5050505050505051,0.0005150937
0.5151515151515152,0.0005254827
0.5252525252525253,0.0005357857
0.5353535353535354,0.0005460402
0.5454545454545455,0.0005563225
0.5555555555555556,0.0005665652
0.5656565656565657,0.0005768152
0.5757575757575758,0.0005871209
0.5858585858585859,0.0005974584
0.595959595959596,0.0006076662
0.6060606060606061,0.0006179384
0.6161616161616162,0.0006283555
0.6262626262626263,0.0006385929
0.6363636363636365,0.0006489032
0.6464646464646465,0.0006593174
0.6565656565656566,0.0006694372
0.6666666666666667,0.0006797034
0.6767676767676768,0.0006900892
0.686868686868687,0.0007003616
0.696969696969697,0.0007105717
0.7070707070707072,0.0007208908
0.7171717171717172,0.0007312586
0.7272727272727273,0.0007415315
0.7373737373737375,0.0007516937
0.7474747474747475,0.0007621052
0.7575757575757577,0.0007723409
0.7676767676767677,0.000782509
0.7777777777777778,0.0007928358
0.787878787878788,0.0008031978
0.797979797979798,0.0008134252
0.8080808080808082,0.0008236839
0.8181818181818182,0.0008340023
0.8282828282828284,0.0008442249
0.8383838383838385,0.0008545175
0.8484848484848485,0.0008648328
0.8585858585858587,0.0008750934
0.8686868686868687,0.0008854137
0.8787878787878789,0.0008956181
0.888888888888889,0.0009058538
0.8989898989898991,0.000916261
0.9090909090909092,0.0009263642
0.9191919191919192,0.0009366612
0.9292929292929294,0.0009468804
0.9393939393939394,0.000957169
0.9494949494949496,0.0009675597
0.9595959595959597,0.0009778311
0.9696969696969697,0.0009880994
0.9797979797979799,0.0009983379
0.98989898989899,0.001008559
1.0,0.001018815
