#Procedure: <__main__.MeasurementProcedure>
#Parameters:
#	Compliance Voltage/Current: 1
#	Delay Time: 0.2 s
#	Final Value: 0.3
#	Initial Value: 0
#	Loop Iterations: 100
#	What to measure: Current [A]
#Data:
Voltage [V],Current [A]
0.0,-2.190125e-08
0.0030303030303030303,6.743885e-06
0.006060606060606061,1.361564e-05
0.00909090909090909,2.041673e-05
0.012121212121212121,2.720333e-05
0.015151515151515152,3.399865e-05
0.01818181818181818,4.079313e-05
0.021212121212121213,4.750098e-05
0.024242424242424242,5.426046e-05
0.02727272727272727,6.103802e-05
0.030303030303030304,6.777131e-05
0.03333333333333333,7.449267e-05
0.03636363636363636,8.124344e-05
0.03939393939393939,8.796445e-05
0.04242424242424243,9.463899e-05
0.045454545454545456,0.0001013597
0.048484848484848485,0.0001092891
0.051515151515151514,0.0001162102
0.05454545454545454,0.0001231287
0.05757575757575758,0.0001297412
0.06060606060606061,0.0001365806
0.06363636363636363,0.0001435693
0.06666666666666667,0.0001503789
0.0696969696969697,0.0001572006
0.07272727272727272,0.0001640438
0.07575757575757576,0.0001708991
0.07878787878787878,0.0001777814
0.08181818181818182,0.0001846367
0.08484848484848485,0.0001915243
0.08787878787878788,0.0001983313
0.09090909090909091,0.0002052254
0.09393939393939393,0.000212067
0.09696969696969697,0.0002188792
0.1,0.000225648
0.10303030303030303,0.0002325154
0.10606060606060606,0.0002392751
0.10909090909090909,0.0002459851
0.11212121212121212,0.0002528661
0.11515151515151516,0.000259661
0.11818181818181818,0.0002664016
0.12121212121212122,0.0002732013
0.12424242424242424,0.0002801118
0.12727272727272726,0.000286993
0.1303030303030303,0.0002939922
0.13333333333333333,0.0003008934
0.13636363636363635,0.0003074567
0.1393939393939394,0.0003142085
0.14242424242424243,0.0003210627
0.14545454545454545,0.000327753
0.1484848484848485,0.0003338514
0.15151515151515152,0.0003406997
0.15454545454545454,0.0003472064
0.15757575757575756,0.0003544024
0.1606060606060606,0.000361307
0.16363636363636364,0.0003682082
0.16666666666666666,0.0003754988
0.1696969696969697,0.0003822668
0.17272727272727273,0.000389509
0.17575757575757575,0.0003966156
0.1787878787878788,0.0004040259
0.18181818181818182,0.0004110312
0.18484848484848485,0.0004173024
0.18787878787878787,0.000423803
0.19090909090909092,0.0004307923
0.19393939393939394,0.000438037
0.19696969696969696,0.0004448141
0.2,0.0004515405
0.20303030303030303,0.0004579179
0.20606060606060606,0.0004647921
0.20909090909090908,0.0004716469
0.21212121212121213,0.0004783444
0.21515151515151515,0.0004853021
0.21818181818181817,0.0004931114
0.22121212121212122,0.0005005003
0.22424242424242424,0.0005075214
0.22727272727272727,0.0005145296
0.23030303030303031,0.0005215007
0.23333333333333334,0.0005279442
0.23636363636363636,0.0005339595
0.23939393939393938,0.0005408699
0.24242424242424243,0.0005479315
0.24545454545454545,0.0005547148
0.24848484848484848,0.0005612311
0.2515151515151515,0.0005680403
0.2545454545454545,0.0005746853
0.25757575757575757,0.0005811992
0.2606060606060606,0.0005878989
0.2636363636363636,0.0005948865
0.26666666666666666,0.0006016345
0.2696969696969697,0.0006086686
0.2727272727272727,0.0006159323
0.27575757575757576,0.0006234319
0.2787878787878788,0.0006307515
0.2818181818181818,0.0006375912
0.28484848484848485,0.0006445874
0.2878787878787879,0.0006511679
0.2909090909090909,0.0006576928
0.29393939393939394,0.0006644917
0.296969696969697,0.0006708287
0.3,0.0006777729
